flight_id,airline_code,flight_type,aircraft_type,arrival_airport,departure_airport,gate_type,scheduled_arrival_time,scheduled_departure_time,planned_turnaround_minutes,actual_on_block_time,unloading_start_delay_minutes,unloading_duration_minutes,loading_duration_minutes,fueling_duration_minutes,cleaning_duration_minutes,catering_duration_minutes,security_check_duration_minutes,cargo_weight_kg,cargo_volume_cbm,number_of_uld_containers,special_cargo_flag,hazardous_goods_flag,assigned_ground_crew_count,available_ground_crew_count,average_crew_experience_years,crew_utilization_percent,airport_congestion_index,gate_occupancy_percent,equipment_availability_percent,simultaneous_flights_at_terminal,weather_condition,visibility_km,wind_speed_kmh,weather_severity_score,maintenance_required_flag,maintenance_delay_minutes,aircraft_avg_turnaround_minutes,gate_avg_turnaround_minutes,airline_avg_turnaround_minutes,actual_turnaround_minutes,actual_off_block_time,turnaround_delay_minutes
FL000001,SpiceJet,Domestic,B777,HYD,BLR,Contact,2024-07-19 15:30,2024-07-19 17:06,96,2024-07-19 15:51,1,33,45,35,31,14,8,18544,21.6,3,0,0,15,15,3.2,91.3,6,48.2,95.9,12,Clear,16.7,2.1,0.0,0,0,85.8,77.2,62.6,140,2024-07-19 18:11,44
FL000002,United,Domestic,A320,CCU,DEL,Remote,2024-06-26 15:15,2024-06-26 16:02,47,2024-06-26 15:05,2,18,23,20,8,8,11,7215,6.5,1,0,0,8,5,6.0,100.0,7,57.6,92.1,16,Clear,25.8,8.0,0.7,0,0,37.9,66.1,78.8,103,2024-06-26 16:48,56
FL000003,Singapore,Domestic,A321,CCU,HYD,Contact,2024-05-25 14:30,2024-05-25 15:29,59,2024-05-25 14:50,1,19,21,15,13,11,5,8486,9.3,1,0,0,9,9,10.9,82.9,6,49.6,99.8,11,Clear,29.6,2.1,0.0,0,0,48.8,62.4,77.3,67,2024-05-25 15:57,8
FL000004,Emirates,International,B777,MAA,FRA,Remote,2024-02-11 12:30,2024-02-11 14:32,122,2024-02-11 12:20,0,36,44,46,27,35,12,12122,11.6,1,0,0,17,17,6.9,79.8,7,62.4,89.3,16,Cloudy,24.8,17.4,0.0,0,0,91.7,55.2,72.8,178,2024-02-11 15:18,56
FL000005,IndiGo,Domestic,B737,HYD,CCU,Remote,2024-06-28 17:00,2024-06-28 17:52,52,2024-06-28 16:58,1,16,21,24,11,16,11,10961,12.4,2,0,0,6,6,3.9,79.5,4,36.3,93.8,8,Rain,3.1,39.4,3.1,0,0,47.1,54.8,69.9,97,2024-06-28 18:35,45
FL000006,IndiGo,International,B777,SIN,DXB,Contact,2024-12-25 12:45,2024-12-25 14:46,121,2024-12-25 13:07,1,41,41,47,25,36,16,15389,15.5,2,1,0,17,17,2.2,81.6,2,30.0,96.8,6,Cloudy,11.8,14.5,0.5,1,31,91.1,52.9,65.4,205,2024-12-25 16:32,84
FL000007,AI,Domestic,A330,BLR,MAA,Contact,2024-11-25 16:45,2024-11-25 18:06,81,2024-11-25 16:43,1,34,34,29,22,22,9,16278,15.5,2,0,0,14,14,9.5,82.4,3,30.0,88.4,7,Cloudy,19.0,3.4,1.6,1,32,72.7,71.1,72.1,148,2024-11-25 19:11,67
FL000008,Lufthansa,International,A320,MAA,LHR,Remote,2024-04-02 09:45,2024-04-02 10:45,60,2024-04-02 10:08,1,12,13,32,14,20,11,10983,9.0,1,0,0,12,10,12.9,99.6,3,30.0,99.0,7,Fog,3.0,10.1,5.7,0,0,50.1,70.6,56.5,114,2024-04-02 12:02,54
FL000009,Emirates,International,B777,SIN,CCU,Contact,2024-01-27 17:45,2024-01-27 19:49,124,2024-01-27 17:53,3,39,44,46,29,40,10,14077,16.8,2,0,0,14,11,7.7,100.0,7,50.4,88.5,16,Fog,2.7,7.5,7.0,1,5,89.7,55.0,54.9,191,2024-01-27 21:04,67
FL000010,Qatar,International,A320,DXB,LHR,Contact,2024-10-26 11:15,2024-10-26 12:09,54,2024-10-26 11:24,15,17,31,27,12,15,12,8074,8.7,1,1,0,11,11,5.6,89.4,5,44.0,95.5,9,Clear,8.4,7.3,0.0,0,0,41.8,64.9,34.0,125,2024-10-26 13:29,71
