iter	RMSE
0	29.8175706
1	28.70341723
2	27.61625349
3	26.59314744
4	25.68874494
5	24.76478965
6	23.93080261
7	23.10066785
8	22.32338115
9	21.62069885
10	20.90772148
11	20.25122127
12	19.62012249
13	19.01919937
14	18.45419454
15	17.88810235
16	17.35429361
17	16.853532
18	16.38775488
19	15.96491255
20	15.55548
21	15.15126445
22	14.76796195
23	14.42011427
24	14.084686
25	13.76515919
26	13.48076877
27	13.20863054
28	12.92521893
29	12.67114877
30	12.45191874
31	12.21752989
32	11.99779058
33	11.80396902
34	11.60543878
35	11.42628753
36	11.24428299
37	11.08267132
38	10.91218242
39	10.74276831
40	10.59188343
41	10.4612807
42	10.31922051
43	10.19357178
44	10.08698799
45	9.972191297
46	9.860841325
47	9.759182923
48	9.659558687
49	9.568876589
50	9.476426345
51	9.397031286
52	9.309290009
53	9.224728136
54	9.146015792
55	9.070701619
56	9.006612604
57	8.942159909
58	8.880042366
59	8.818992593
60	8.758813274
61	8.703906214
62	8.652439733
63	8.604132849
64	8.552542438
65	8.505665401
66	8.46084695
67	8.416488995
68	8.371177801
69	8.32864969
70	8.293546996
71	8.256167233
72	8.217109728
73	8.184490479
74	8.150236383
75	8.114099539
76	8.08133407
77	8.050793615
78	8.01932744
79	7.994051369
80	7.963475529
81	7.932330518
82	7.904780199
83	7.879067918
84	7.852453144
85	7.827756966
86	7.803384569
87	7.781358479
88	7.754181854
89	7.736266516
90	7.715145305
91	7.697887909
92	7.676173611
93	7.655125923
94	7.637934081
95	7.620546365
96	7.603080403
97	7.585771797
98	7.565681434
99	7.546964572
100	7.5284881
101	7.513856867
102	7.49710914
103	7.480675026
104	7.464178716
105	7.449660233
106	7.438386779
107	7.424105699
108	7.4106595
109	7.392084231
110	7.377734217
111	7.360275448
112	7.349060886
113	7.335771713
114	7.320691654
115	7.303818181
116	7.290883841
117	7.273976778
118	7.259084487
119	7.251984792
120	7.241720306
121	7.23246519
122	7.222669125
123	7.213283911
124	7.200558623
125	7.190910127
126	7.179354426
127	7.168373535
128	7.159907601
129	7.146879685
130	7.138842275
131	7.127112024
132	7.117003332
133	7.105423079
134	7.094239036
135	7.088772387
136	7.079861874
137	7.0678179
138	7.056048387
139	7.048039615
140	7.038392557
141	7.027944745
142	7.018074531
143	7.009926775
144	6.999669055
145	6.99216508
146	6.984051111
147	6.973295641
148	6.964646163
149	6.958302406
150	6.95061075
151	6.944378581
152	6.934286676
153	6.925241397
154	6.918737571
155	6.911684719
156	6.905578942
157	6.896505779
158	6.886512228
159	6.877706215
160	6.872335767
161	6.865138298
162	6.852439947
163	6.845082515
164	6.839083001
165	6.833084218
166	6.823904576
167	6.815438926
168	6.810245025
169	6.803250022
170	6.793022011
171	6.783573029
172	6.772344377
173	6.766106488
174	6.760570605
175	6.749449195
176	6.742382031
177	6.737015829
178	6.726803447
179	6.720734978
180	6.712075402
181	6.701799098
182	6.692439059
183	6.685516263
184	6.678762562
185	6.672510903
186	6.666805066
187	6.658919621
188	6.652474943
189	6.645602023
190	6.637850323
191	6.632383145
192	6.625758982
193	6.618772844
194	6.613224472
195	6.607022382
196	6.599773021
197	6.594610476
198	6.589826038
199	6.584214649
200	6.579119857
201	6.574455384
202	6.568847864
203	6.563509695
204	6.552377352
205	6.546089305
206	6.539978212
207	6.532306231
208	6.526605291
209	6.520579838
210	6.511399037
211	6.505242784
212	6.499193689
213	6.495347415
214	6.488446977
215	6.480838306
216	6.473396642
217	6.468324281
218	6.460997499
219	6.455016789
220	6.448483912
221	6.441191814
222	6.431983394
223	6.426201455
224	6.418635587
225	6.411414712
226	6.406457636
227	6.401298706
228	6.397293498
229	6.392950271
230	6.387283885
231	6.382783419
232	6.377862439
233	6.372771815
234	6.367479091
235	6.362587311
236	6.353852185
237	6.348925672
238	6.344040803
239	6.336839075
240	6.332511145
241	6.328205417
242	6.32328614
243	6.316969067
244	6.31174906
245	6.306609772
246	6.302944507
247	6.298013149
248	6.292170107
249	6.286016287
250	6.280941326
251	6.27764585
252	6.273055843
253	6.266632549
254	6.261872954
255	6.257898796
256	6.252913144
257	6.247400043
258	6.24038964
259	6.233867789
260	6.228754633
261	6.224894517
262	6.220669014
263	6.215150178
264	6.210686159
265	6.206858671
266	6.201801571
267	6.197311531
268	6.192440002
269	6.186653642
270	6.182750911
271	6.179450374
272	6.173831211
273	6.168443719
274	6.162614183
275	6.157136672
276	6.151951745
277	6.147825107
278	6.143017132
