iter	Passed	Remaining
0	18	7420
1	27	5443
2	38	5076
3	47	4728
4	58	4657
5	68	4489
6	79	4440
7	86	4243
8	96	4190
9	105	4122
10	114	4049
11	123	4008
12	132	3933
13	141	3894
14	149	3826
15	158	3812
16	166	3757
17	175	3729
18	183	3681
19	193	3670
20	203	3669
21	213	3672
22	223	3667
23	231	3627
24	240	3600
25	248	3571
26	256	3550
27	267	3549
28	275	3518
29	284	3512
30	292	3481
31	301	3470
32	309	3441
33	321	3460
34	332	3470
35	340	3442
36	348	3423
37	357	3409
38	366	3394
39	373	3360
40	381	3341
41	388	3311
42	395	3286
43	404	3275
44	422	3331
45	449	3459
46	470	3532
47	492	3613
48	512	3669
49	533	3732
50	576	3944
51	619	4146
52	660	4323
53	686	4395
54	725	4551
55	763	4690
56	911	5486
57	932	5500
58	958	5538
59	978	5547
60	996	5537
61	1012	5518
62	1029	5508
63	1053	5533
64	1076	5549
65	1103	5585
66	1138	5660
67	1186	5792
68	1259	6042
69	1317	6209
70	1377	6384
71	1435	6540
72	1511	6772
73	1828	8057
74	2014	8730
75	2112	9004
76	2227	9342
77	2294	9472
78	2373	9643
79	2428	9713
80	2479	9766
81	2539	9849
82	2566	9802
83	2587	9734
84	2607	9664
85	2630	9606
86	2656	9556
87	2693	9548
88	2730	9540
89	2761	9511
90	2796	9495
91	2816	9429
92	2836	9361
93	2856	9298
94	2875	9231
95	2895	9170
96	2920	9121
97	2942	9068
98	2961	9003
99	2977	8933
100	2996	8869
101	3015	8808
102	3039	8763
103	3058	8703
104	3085	8668
105	3110	8625
106	3130	8572
107	3151	8521
108	3180	8491
109	3205	8451
110	3227	8402
111	3247	8351
112	3266	8296
113	3285	8243
114	3303	8186
115	3322	8134
116	3341	8083
117	3358	8026
118	3379	7979
119	3397	7926
120	3414	7874
121	3449	7861
122	3469	7812
123	3491	7770
124	3509	7720
125	3528	7673
126	3548	7628
127	3571	7588
128	3592	7547
129	3613	7505
130	3630	7455
131	3651	7413
132	3669	7366
133	3685	7316
134	3702	7268
135	3720	7223
136	3738	7176
137	3755	7130
138	3776	7090
139	3792	7042
140	3808	6995
141	3825	6951
142	3847	6914
143	3868	6877
144	3887	6837
145	3909	6801
146	3929	6763
147	3949	6724
148	3969	6686
149	3992	6654
150	4015	6622
151	4039	6590
152	4056	6549
153	4073	6507
154	4091	6467
155	4111	6430
156	4131	6394
157	4153	6362
158	4179	6335
159	4203	6304
160	4222	6267
161	4244	6236
162	4265	6201
163	4287	6170
164	4305	6132
165	4325	6097
166	4353	6074
167	4380	6049
168	4403	6018
169	4434	5999
170	4453	5963
171	4470	5926
172	4492	5895
173	4510	5858
174	4527	5820
175	4544	5783
176	4561	5747
177	4578	5710
178	4596	5674
179	4612	5637
180	4629	5601
181	4646	5565
182	4664	5530
183	4681	5496
184	4709	5473
185	4727	5438
186	4744	5403
187	4760	5367
188	4776	5331
189	4792	5296
190	4808	5261
191	4831	5234
192	4849	5201
193	4864	5165
194	4883	5133
195	4901	5101
196	4922	5072
197	4945	5045
198	4974	5024
199	4994	4994
200	5014	4964
201	5033	4933
202	5053	4904
203	5072	4873
204	5104	4855
205	5128	4829
206	5161	4812
207	5191	4791
208	5217	4767
209	5244	4745
210	5280	4729
211	5314	4713
212	5357	4703
213	5391	4685
214	5417	4661
215	5453	4645
216	5510	4646
217	5541	4626
218	5564	4598
219	5584	4568
220	5605	4540
221	5628	4513
222	5651	4485
223	5677	4460
224	5703	4435
225	5725	4408
226	5745	4378
227	5768	4351
228	5784	4319
229	5803	4289
230	5823	4260
231	5842	4230
232	5868	4206
233	5890	4178
234	5909	4148
235	5928	4119
236	5945	4088
237	5961	4057
238	5978	4027
239	5997	3998
240	6015	3968
241	6031	3937
242	6049	3908
243	6067	3879
244	6084	3849
245	6100	3819
246	6115	3788
247	6132	3758
248	6151	3730
249	6170	3702
250	6187	3673
251	6205	3644
252	6224	3616
253	6241	3587
254	6257	3557
255	6274	3529
256	6293	3501
257	6311	3473
258	6328	3445
259	6345	3416
260	6361	3388
261	6379	3359
262	6399	3333
263	6416	3305
264	6433	3277
265	6448	3248
266	6461	3218
267	6474	3188
268	6489	3160
269	6503	3131
270	6518	3103
271	6534	3075
272	6555	3049
273	6569	3021
274	6589	2995
275	6604	2967
276	6621	2940
277	6637	2912
278	6662	2889
279	6678	2862
280	6695	2835
281	6709	2807
282	6724	2779
283	6739	2752
284	6757	2726
285	6777	2701
286	6794	2675
287	6813	2649
288	6828	2622
289	6842	2595
290	6858	2569
291	6874	2542
292	6890	2516
293	6906	2490
294	6922	2463
295	6938	2437
296	6958	2413
297	6975	2387
298	6991	2361
299	7008	2336
300	7023	2309
301	7039	2284
302	7057	2259
303	7073	2233
304	7090	2208
305	7107	2183
306	7122	2157
307	7139	2132
308	7157	2107
309	7172	2082
310	7189	2057
311	7204	2032
312	7218	2006
313	7233	1981
314	7253	1957
315	7269	1932
316	7286	1907
317	7300	1882
318	7315	1857
319	7332	1833
320	7347	1808
321	7367	1784
322	7385	1760
323	7403	1736
324	7420	1712
325	7439	1688
326	7457	1664
327	7475	1641
328	7495	1617
329	7512	1593
330	7529	1569
331	7548	1546
332	7566	1522
333	7584	1498
334	7602	1475
335	7618	1451
336	7634	1427
337	7651	1403
338	7667	1379
339	7684	1356
340	7698	1331
341	7714	1308
342	7732	1285
343	7753	1262
344	7773	1239
345	7790	1215
346	7808	1192
347	7826	1169
348	7845	1146
349	7861	1123
350	7880	1100
351	7898	1077
352	7916	1054
353	7936	1031
354	7953	1008
355	7972	985
356	7993	962
357	8008	939
358	8024	916
359	8044	893
360	8063	871
361	8079	848
362	8097	825
363	8118	802
364	8135	780
365	8154	757
366	8175	735
367	8192	712
368	8208	689
369	8229	667
370	8248	644
371	8268	622
372	8289	600
373	8307	577
374	8323	554
375	8342	532
376	8363	510
377	8380	487
378	8397	465
379	8416	442
380	8433	420
381	8450	398
382	8469	375
383	8490	353
384	8509	331
385	8526	309
386	8544	287
387	8560	264
388	8579	242
389	8596	220
390	8614	198
391	8630	176
392	8647	154
393	8666	131
394	8682	109
395	8697	87
396	8713	65
397	8729	43
398	8762	21
399	8777	0
